Previous State,New State
"[-209.17, -450.06, 5.575600870454231, 39.58, 3.54, 617.2, -5.25]","[-215.27, -444.89, 5.575600870454231, 40.41, 4.07, 625.23, -5.31]"
"[-215.27, -444.89, 5.575600870454231, 40.41, 4.07, 625.23, -5.31]","[-221.5, -439.61, 5.575600870454231, 41.19, 4.03, 633.39, -5.35]"
"[-221.5, -439.61, 5.575600870454231, 41.19, 4.03, 633.39, -5.35]","[-227.84, -434.24, 5.575600870454231, 41.94, 3.88, 641.7, -5.39]"
"[-227.84, -434.24, 5.575600870454231, 41.94, 3.88, 641.7, -5.39]","[-234.3, -428.77, 5.575600870454231, 42.68, 3.56, 650.17, -5.43]"
"[-234.3, -428.77, 5.575600870454231, 42.68, 3.56, 650.17, -5.43]","[-240.87, -423.21, 5.575600870454231, 43.38, 3.46, 658.77, -5.47]"
"[-240.87, -423.21, 5.575600870454231, 43.38, 3.46, 658.77, -5.47]","[-247.54, -417.56, 5.575600870454231, 44.06, 4.43, 667.52, -5.52]"
"[-247.54, -417.56, 5.575600870454231, 44.06, 4.43, 667.52, -5.52]","[-254.31, -411.82, 5.575600870454231, 44.74, 3.28, 676.4, -5.56]"
"[-254.31, -411.82, 5.575600870454231, 44.74, 3.28, 676.4, -5.56]","[-261.06, -406.1, 5.575600870454231, 42.96, -18.61, 685.24, -5.6]"
"[-261.06, -406.1, 5.575600870454231, 42.96, -18.61, 685.24, -5.6]","[-267.35, -400.77, 5.575600870454231, 39.44, -19.44, 693.48, -5.64]"
"[-267.35, -400.77, 5.575600870454231, 39.44, -19.44, 693.48, -5.64]","[-273.06, -395.9, 5.562366546309496, 35.83, -13.45, 700.99, -5.66]"
"[-273.06, -395.9, 5.562366546309496, 35.83, -13.45, 700.99, -5.66]","[-278.18, -391.13, 5.450114948837938, 34.46, -2.74, 707.95, -5.38]"
"[-278.18, -391.13, 5.450114948837938, 34.46, -2.74, 707.95, -5.38]","[-282.82, -386.09, 5.321774288415485, 34.02, 1.93, 714.71, -4.61]"
"[-282.82, -386.09, 5.321774288415485, 34.02, 1.93, 714.71, -4.61]","[-287.0, -380.68, 5.207323106725585, 34.02, 2.22, 721.34, -3.42]"
"[-287.0, -380.68, 5.207323106725585, 34.02, 2.22, 721.34, -3.42]","[-290.63, -374.88, 5.115104821965351, 33.98, 1.74, 727.77, -1.88]"
"[-290.63, -374.88, 5.115104821965351, 33.98, 1.74, 727.77, -1.88]","[-293.68, -368.76, 5.029949409676211, 34.0, 2.55, 734.35, -0.31]"
"[-293.68, -368.76, 5.029949409676211, 34.0, 2.55, 734.35, -0.31]","[-296.1, -362.36, 4.957954497899982, 34.16, 2.27, 741.12, 0.88]"
"[-296.1, -362.36, 4.957954497899982, 34.16, 2.27, 741.12, 0.88]","[-297.87, -355.73, 4.853928453709116, 34.06, -2.57, 748.31, 1.3]"
"[-297.87, -355.73, 4.853928453709116, 34.06, -2.57, 748.31, 1.3]","[-298.92, -349.09, 4.71238898038469, 33.16, -3.08, 755.19, 0.85]"
"[-298.92, -349.09, 4.71238898038469, 33.16, -3.08, 755.19, 0.85]","[-299.28, -342.48, 4.71238898038469, 33.15, 2.66, 761.82, -0.07]"
"[-299.28, -342.48, 4.71238898038469, 33.15, 2.66, 761.82, -0.07]","[-299.02, -335.82, 4.570849507060263, 33.41, 2.59, 768.35, -1.16]"
"[-299.02, -335.82, 4.570849507060263, 33.41, 2.59, 768.35, -1.16]","[-298.19, -329.14, 4.428594871176362, 33.6, 2.68, 774.97, -2.05]"
"[-298.19, -329.14, 4.428594871176362, 33.6, 2.68, 774.97, -2.05]","[-296.73, -322.53, 4.336005498066962, 33.73, 2.3, 781.71, -2.47]"
