Previous State,New State
"[1.7123358001193236, 27.62, 1050.29, -0.04]","[1.5707963267948966, 28.58, 1055.85, -0.74]"
"[1.5707963267948966, 28.58, 1055.85, -0.74]","[1.4292568534704695, 29.56, 1061.61, -1.23]"
"[1.4292568534704695, 29.56, 1061.61, -1.23]","[1.4292568534704695, 30.74, 1067.56, -1.52]"
"[1.4292568534704695, 30.74, 1067.56, -1.52]","[1.4292568534704695, 31.81, 1073.78, -1.88]"
"[1.4292568534704695, 31.81, 1073.78, -1.88]","[1.4292568534704695, 32.82, 1080.2, -2.35]"
"[1.4292568534704695, 32.82, 1080.2, -2.35]","[1.4292568534704695, 33.77, 1086.82, -2.9]"
"[1.4292568534704695, 33.77, 1086.82, -2.9]","[1.370461484471777, 34.61, 1093.62, -3.34]"
"[1.370461484471777, 34.61, 1093.62, -3.34]","[1.3252308092796046, 35.5, 1100.63, -3.47]"
"[1.3252308092796046, 35.5, 1100.63, -3.47]","[1.2870022175865685, 36.29, 1107.8, -3.28]"
"[1.2870022175865685, 36.29, 1107.8, -3.28]","[1.253235897503375, 37.12, 1115.11, -2.78]"
"[1.253235897503375, 37.12, 1115.11, -2.78]","[1.253235897503375, 37.8, 1122.57, -2.21]"
"[1.253235897503375, 37.8, 1122.57, -2.21]","[1.253235897503375, 38.15, 1130.1, -1.67]"
"[1.253235897503375, 38.15, 1130.1, -1.67]","[1.253235897503375, 38.92, 1137.79, -1.16]"
"[1.253235897503375, 38.92, 1137.79, -1.16]","[1.253235897503375, 39.15, 1145.62, -0.66]"
"[1.253235897503375, 39.15, 1145.62, -0.66]","[1.253235897503375, 35.7, 1153.12, -0.17]"
"[1.253235897503375, 35.7, 1153.12, -0.17]","[1.253235897503375, 31.83, 1159.86, 0.27]"
"[1.253235897503375, 31.83, 1159.86, 0.27]","[1.2870022175865685, 28.32, 1165.85, 0.62]"
"[1.2870022175865685, 28.32, 1165.85, 0.62]","[1.370461484471777, 26.62, 1171.3, 0.69]"
"[1.370461484471777, 26.62, 1171.3, 0.69]","[1.5707963267948966, 26.44, 1176.56, 0.24]"
"[1.5707963267948966, 26.44, 1176.56, 0.24]","[1.5707963267948966, 27.46, 1181.85, -0.73]"
"[1.5707963267948966, 27.46, 1181.85, -0.73]","[1.5707963267948966, 28.71, 1187.53, -1.91]"
"[1.5707963267948966, 28.71, 1187.53, -1.91]","[1.5707963267948966, 29.88, 1193.57, -2.6]"
"[1.5707963267948966, 29.88, 1193.57, -2.6]","[1.5707963267948966, 30.11, 1199.88, -2.74]"
"[1.5707963267948966, 30.11, 1199.88, -2.74]","[1.8163618443101885, 29.23, 1206.15, -2.49]"
"[1.8163618443101885, 29.23, 1206.15, -2.49]","[1.9735121683755579, 28.17, 1212.46, -1.96]"
"[1.9735121683755579, 28.17, 1212.46, -1.96]","[2.1443094312179936, 27.01, 1218.14, -1.23]"
"[2.1443094312179936, 27.01, 1218.14, -1.23]","[2.293530574608312, 25.73, 1223.51, -0.45]"
"[2.293530574608312, 25.73, 1223.51, -0.45]","[2.4600394420266762, 24.45, 1228.53, 0.35]"
"[2.4600394420266762, 24.45, 1228.53, 0.35]","[2.6064078633141934, 23.17, 1233.2, 1.16]"
"[2.6064078633141934, 23.17, 1233.2, 1.16]","[2.7517963571155324, 22.0, 1237.57, 1.88]"
"[2.7517963571155324, 22.0, 1237.57, 1.88]","[2.89922680255083, 20.85, 1241.93, 2.35]"
"[2.89922680255083, 20.85, 1241.93, 2.35]","[3.0313696036020463, 20.38, 1245.87, 2.61]"
"[3.0313696036020463, 20.38, 1245.87, 2.61]","[3.1515928202639603, 20.41, 1249.74, 2.53]"
"[3.1515928202639603, 20.41, 1249.74, 2.53]","[3.261882535984581, 20.82, 1253.64, 2.12]"
"[3.261882535984581, 20.82, 1253.64, 2.12]","[3.353167613347889, 21.56, 1257.65, 1.46]"
"[3.353167613347889, 21.56, 1257.65, 1.46]","[3.404614856498262, 22.76, 1262.0, 0.65]"
"[3.404614856498262, 22.76, 1262.0, 0.65]","[3.499163757235303, 23.51, 1266.5, -0.16]"
"[3.499163757235303, 23.51, 1266.5, -0.16]","[3.5860854305256122, 23.39, 1271.13, -0.91]"
"[3.5860854305256122, 23.39, 1271.13, -0.91]","[3.5971913269856164, 24.58, 1276.04, -1.32]"
"[3.5971913269856164, 24.58, 1276.04, -1.32]","[3.712029762989715, 24.87, 1281.19, -1.39]"
"[3.712029762989715, 24.87, 1281.19, -1.39]","[3.889355288249714, 24.11, 1286.26, -1.39]"
"[3.889355288249714, 24.11, 1286.26, -1.39]","[4.052401650997192, 24.06, 1291.24, -1.44]"
"[4.052401650997192, 24.06, 1291.24, -1.44]","[4.176862326070302, 24.7, 1296.3, -1.54]"
"[4.176862326070302, 24.7, 1296.3, -1.54]","[4.261362168588427, 25.61, 1301.51, -1.63]"
"[4.261362168588427, 25.61, 1301.51, -1.63]","[4.3642229591117285, 26.7, 1306.9, -1.69]"
"[4.3642229591117285, 26.7, 1306.9, -1.69]","[4.394828551093168, 28.05, 1312.61, -1.68]"
"[4.394828551093168, 28.05, 1312.61, -1.68]","[4.3642229591117285, 29.27, 1318.42, -1.5]"
"[4.3642229591117285, 29.27, 1318.42, -1.5]","[4.3642229591117285, 30.48, 1324.42, -0.97]"
"[4.3642229591117285, 30.48, 1324.42, -0.97]","[4.428594871176362, 31.56, 1330.61, -0.24]"
"[4.428594871176362, 31.56, 1330.61, -0.24]","[4.466823462869398, 32.63, 1337.0, 0.32]"
"[4.466823462869398, 32.63, 1337.0, 0.32]","[4.466823462869398, 33.7, 1343.63, 0.71]"
"[4.466823462869398, 33.7, 1343.63, 0.71]","[4.428594871176362, 34.66, 1350.46, 1.12]"
"[4.428594871176362, 34.66, 1350.46, 1.12]","[4.394828551093168, 35.63, 1357.48, 1.72]"
"[4.394828551093168, 35.63, 1357.48, 1.72]","[4.466823462869398, 36.47, 1364.68, 2.24]"
"[4.466823462869398, 36.47, 1364.68, 2.24]","[4.51205413806157, 37.33, 1372.05, 2.4]"
"[4.51205413806157, 37.33, 1372.05, 2.4]","[4.51205413806157, 37.72, 1379.58, 2.3]"
"[4.51205413806157, 37.72, 1379.58, 2.3]","[4.570849507060263, 38.47, 1387.19, 2.09]"
"[4.570849507060263, 38.47, 1387.19, 2.09]","[4.71238898038469, 39.19, 1394.94, 1.52]"
"[4.71238898038469, 39.19, 1394.94, 1.52]","[4.71238898038469, 40.02, 1402.8, 0.54]"
"[4.71238898038469, 40.02, 1402.8, 0.54]","[4.570849507060263, 40.75, 1410.81, -0.49]"
"[4.570849507060263, 40.75, 1410.81, -0.49]","[4.570849507060263, 41.5, 1419.01, -1.24]"
"[4.570849507060263, 41.5, 1419.01, -1.24]","[4.570849507060263, 42.25, 1427.39, -1.74]"
"[4.570849507060263, 42.25, 1427.39, -1.74]","[4.570849507060263, 42.95, 1435.91, -2.15]"
"[4.570849507060263, 42.95, 1435.91, -2.15]","[4.570849507060263, 43.63, 1444.56, -2.55]"
"[4.570849507060263, 43.63, 1444.56, -2.55]","[4.570849507060263, 44.29, 1453.34, -2.95]"
"[4.570849507060263, 44.29, 1453.34, -2.95]","[4.570849507060263, 44.92, 1462.22, -3.36]"
"[4.570849507060263, 44.92, 1462.22, -3.36]","[4.570849507060263, 45.53, 1471.25, -3.73]"
"[4.570849507060263, 45.53, 1471.25, -3.73]","[4.51205413806157, 46.07, 1480.4, -3.98]"
"[4.51205413806157, 46.07, 1480.4, -3.98]","[4.466823462869398, 46.07, 1489.59, -3.91]"
"[4.466823462869398, 46.07, 1489.59, -3.91]","[4.428594871176362, 46.61, 1498.84, -3.47]"
"[4.428594871176362, 46.61, 1498.84, -3.47]","[4.428594871176362, 47.18, 1508.19, -2.74]"
"[4.428594871176362, 47.18, 1508.19, -2.74]","[4.428594871176362, 47.74, 1517.64, -1.88]"
"[4.428594871176362, 47.74, 1517.64, -1.88]","[4.394828551093168, 48.26, 1527.2, -0.99]"
"[4.394828551093168, 48.26, 1527.2, -0.99]","[4.336005498066962, 48.67, 1536.84, -0.01]"
"[4.336005498066962, 48.67, 1536.84, -0.01]","[4.28487671543982, 49.09, 1546.58, 1.02]"
"[4.28487671543982, 49.09, 1546.58, 1.02]","[4.261362168588427, 49.56, 1556.5, 1.93]"
"[4.261362168588427, 49.56, 1556.5, 1.93]","[4.217454854043794, 49.97, 1566.66, 2.31]"
"[4.217454854043794, 49.97, 1566.66, 2.31]","[4.138875875961593, 50.25, 1576.92, 2.08]"
"[4.138875875961593, 50.25, 1576.92, 2.08]","[4.1030036723538945, 50.6, 1587.18, 1.4]"
"[4.1030036723538945, 50.6, 1587.18, 1.4]","[4.085744768743949, 51.07, 1597.35, 0.72]"
"[4.085744768743949, 51.07, 1597.35, 0.72]","[4.085744768743949, 51.51, 1607.59, 0.12]"
"[4.085744768743949, 51.51, 1607.59, 0.12]","[4.085744768743949, 51.94, 1617.92, -0.44]"
"[4.085744768743949, 51.94, 1617.92, -0.44]","[4.085744768743949, 52.34, 1628.34, -1.02]"
"[4.085744768743949, 52.34, 1628.34, -1.02]","[4.068887871591405, 52.72, 1638.83, -1.57]"
"[4.068887871591405, 52.72, 1638.83, -1.57]","[4.020433805258373, 52.61, 1649.38, -1.9]"
"[4.020433805258373, 52.61, 1649.38, -1.9]","[4.020433805258373, 53.0, 1659.94, -1.95]"
"[4.020433805258373, 53.0, 1659.94, -1.95]","[4.020433805258373, 53.41, 1670.58, -1.86]"
"[4.020433805258373, 53.41, 1670.58, -1.86]","[4.020433805258373, 53.79, 1681.3, -1.75]"
"[4.020433805258373, 53.79, 1681.3, -1.75]","[4.020433805258373, 54.16, 1692.1, -1.65]"
"[4.020433805258373, 54.16, 1692.1, -1.65]","[4.020433805258373, 54.52, 1702.97, -1.57]"
"[4.020433805258373, 54.52, 1702.97, -1.57]","[4.020433805258373, 54.87, 1713.91, -1.49]"
"[4.020433805258373, 54.87, 1713.91, -1.49]","[4.020433805258373, 55.21, 1724.91, -1.42]"
"[4.020433805258373, 55.21, 1724.91, -1.42]","[4.004905768605346, 55.53, 1735.99, -1.28]"
"[4.004905768605346, 55.53, 1735.99, -1.28]","[4.004905768605346, 55.85, 1747.13, -1.05]"
"[4.004905768605346, 55.85, 1747.13, -1.05]","[4.004905768605346, 56.15, 1758.33, -0.75]"
"[4.004905768605346, 56.15, 1758.33, -0.75]","[4.004905768605346, 56.45, 1769.58, -0.43]"
"[4.004905768605346, 56.45, 1769.58, -0.43]","[4.004905768605346, 56.74, 1780.9, -0.11]"
"[4.004905768605346, 56.74, 1780.9, -0.11]","[4.004905768605346, 57.02, 1792.27, 0.22]"
